,Gross domestic product 2019,,,,

,,,,(millions of,
,Ranking,,Economy,US dollars),

USA,1,,United States," 21,427,700 ",
CHN,2,,China," 14,342,903 ",
JPN,3,,Japan," 5,081,770 ",
DEU,4,,Germany," 3,845,630 ",
IND,5,,India," 2,875,142 ",
GBR,6,,United Kingdom," 2,827,113 ",
FRA,7,,France," 2,715,518 ",
ITA,8,,Italy," 2,001,244 ",
BRA,9,,Brazil," 1,839,758 ",
CAN,10,,Canada," 1,736,426 ",
RUS,11,,Russian Federation," 1,699,877 ",a
KOR,12,,"Korea, Rep."," 1,642,383 ",
ESP,13,,Spain," 1,394,116 ",
AUS,14,,Australia," 1,392,681 ",
MEX,15,,Mexico," 1,258,287 ",
IDN,16,,Indonesia," 1,119,191 ",
NLD,17,,Netherlands," 909,070 ",
SAU,18,,Saudi Arabia," 792,967 ",
TUR,19,,Turkey," 754,412 ",
CHE,20,,Switzerland," 703,082 ",
POL,21,,Poland," 592,164 ",
THA,22,,Thailand," 543,650 ",
SWE,23,,Sweden," 530,833 ",
BEL,24,,Belgium," 529,607 ",
ARG,25,,Argentina," 449,663 ",b
NGA,26,,Nigeria," 448,120 ",
AUT,27,,Austria," 446,315 ",
IRN,28,,"Iran, Islamic Rep."," 445,345 ",
ARE,29,,United Arab Emirates," 421,142 ",
NOR,30,,Norway," 403,336 ",
ISR,31,,Israel," 395,099 ",
IRL,32,,Ireland," 388,699 ",
PHL,33,,Philippines," 376,796 ",
SGP,34,,Singapore," 372,063 ",
HKG,35,,"Hong Kong SAR, China"," 366,030 ",
MYS,36,,Malaysia," 364,702 ",
ZAF,37,,South Africa," 351,432 ",
DNK,38,,Denmark," 348,078 ",
COL,39,,Colombia," 323,803 ",
EGY,40,,"Egypt, Arab Rep."," 303,175 ",
BGD,41,,Bangladesh," 302,571 ",
CHL,42,,Chile," 282,318 ",
PAK,43,,Pakistan," 278,222 ",
FIN,44,,Finland," 268,761 ",
VNM,45,,Vietnam," 261,921 ",
ROU,46,,Romania," 250,077 ",
CZE,47,,Czech Republic," 246,489 ",
PRT,48,,Portugal," 237,686 ",
IRQ,49,,Iraq," 234,094 ",
PER,50,,Peru," 226,848 ",
GRC,51,,Greece," 209,853 ",
NZL,52,,New Zealand," 206,929 ",
QAT,53,,Qatar," 183,466 ",
KAZ,54,,Kazakhstan," 180,162 ",
DZA,55,,Algeria," 169,988 ",
HUN,56,,Hungary," 160,967 ",
UKR,57,,Ukraine," 153,781 ",a
KWT,58,,Kuwait," 134,761 ",
MAR,59,,Morocco," 118,725 ",c
ECU,60,,Ecuador," 107,436 ",
SVK,61,,Slovak Republic," 105,422 ",
PRI,62,,Puerto Rico," 104,989 ",
CUB,63,,Cuba," 100,023 ",
ETH,64,,Ethiopia," 96,108 ",
KEN,65,,Kenya," 95,503 ",
AGO,66,,Angola," 94,635 ",
DOM,67,,Dominican Republic," 88,941 ",
LKA,68,,Sri Lanka," 84,009 ",
OMN,69,,Oman," 76,983 ",
GTM,70,,Guatemala," 76,710 ",
MMR,71,,Myanmar," 76,086 ",
LUX,72,,Luxembourg," 71,105 ",
BGR,73,,Bulgaria," 67,927 ",
GHA,74,,Ghana," 66,984 ",
PAN,75,,Panama," 66,801 ",
TZA,76,,Tanzania," 63,177 ",d
BLR,77,,Belarus," 63,080 ",
CRI,78,,Costa Rica," 61,774 ",
HRV,79,,Croatia," 60,416 ",
CIV,80,,Côte d'Ivoire," 58,792 ",
UZB,81,,Uzbekistan," 57,921 ",
URY,82,,Uruguay," 56,046 ",
LTU,83,,Lithuania," 54,219 ",
MAC,84,,"Macao SAR, China"," 53,859 ",
SVN,85,,Slovenia," 53,742 ",
LBN,86,,Lebanon," 53,367 ",
LBY,87,,Libya," 52,076 ",
SRB,88,,Serbia," 51,409 ",
AZE,89,,Azerbaijan," 48,048 ",
COD,90,,"Congo, Dem. Rep."," 47,320 ",
JOR,91,,Jordan," 43,744 ",
BOL,92,,Bolivia," 40,895 ",
TKM,93,,Turkmenistan," 40,761 ",
TUN,94,,Tunisia," 38,798 ",
CMR,95,,Cameroon," 38,760 ",
BHR,96,,Bahrain," 38,574 ",
PRY,97,,Paraguay," 38,145 ",
UGA,98,,Uganda," 34,387 ",
LVA,99,,Latvia," 34,117 ",
EST,100,,Estonia," 31,387 ",
NPL,101,,Nepal," 30,641 ",
YEM,102,,"Yemen, Rep."," 27,591 ",
KHM,103,,Cambodia," 27,089 ",
SLV,104,,El Salvador," 27,023 ",
HND,105,,Honduras," 25,095 ",
PNG,106,,Papua New Guinea," 24,970 ",
CYP,107,,Cyprus," 24,565 ",e
ISL,108,,Iceland," 24,188 ",
TTO,109,,Trinidad and Tobago," 24,100 ",
SEN,110,,Senegal," 23,578 ",
ZMB,111,,Zambia," 23,065 ",
ZWE,112,,Zimbabwe," 21,441 ",
BIH,113,,Bosnia and Herzegovina," 20,048 ",
AFG,114,,Afghanistan," 19,101 ",
SDN,115,,Sudan," 18,902 ",
BWA,116,,Botswana," 18,341 ",
LAO,117,,Lao PDR," 18,174 ",
GEO,118,,Georgia," 17,743 ",f
MLI,119,,Mali," 17,510 ",
GAB,120,,Gabon," 16,658 ",
JAM,121,,Jamaica," 16,458 ",
BFA,122,,Burkina Faso," 15,746 ",
ALB,123,,Albania," 15,278 ",
MOZ,124,,Mozambique," 14,934 ",
MLT,125,,Malta," 14,786 ",
PSE,126,,West Bank and Gaza," 14,616 ",
BEN,127,,Benin," 14,391 ",
MUS,128,,Mauritius," 14,180 ",
MDG,129,,Madagascar," 14,084 ",
MNG,130,,Mongolia," 13,853 ",
ARM,131,,Armenia," 13,673 ",
GIN,132,,Guinea," 13,590 ",
